Publisher Name,Publisher Domain
Association for Computing Machinery,acm.org
Africa Journals Online,ajol.info
Bentham Science Publishers,benthamscience.com
Bioinfo Publications,bioinfopublication.org
BioMed Central,biomedcentral.com
Brill,brill.com
Airiti Library,airitilibrary.com
Cambridge University Press,cambridge.org
Walter de Gruyter GmbH & Co. KG,degruyter.de
"Dialnet, Universidad de La Rioja",dialnet.unirioja.es
Dove Press Ltd.,dovepress.com
Elsevier,elsevier.com
Emerald Insight,emeraldinsight.com
Hans Publishers Inc,hanspub.org
Haworth Press Inc,haworthpress.com
Hindawi Publishing Corporation,hindawi.com
Portal of Scientific Journals of Croatia,hrcak.srce.hr
IEEE,ieee.org
IGI Global (Openly),igi-global.com
Inderscience Publishers,inderscience.com
Informa plc,informa.com
Intellect Ltd,intellectbooks.co.uk
Inventi,inventi.in
Institute of Physics,iop.org
J-STAGE,jstage.jst.go.jp
S. Karger AG,karger.ch
Libertas Academica,la-press.com
Lippincott Williams and Wilkins,lwwonline.com
Mary Ann Liebert,liebertpub.com
Maney Online,maneyonline.com
Multidisciplinary Digital Publishing Institute,mdpi.com
Medknow Publications,medknow.com
NewsRX,newsrx.com
Nature Publishing Group,nature.com
OECD Publications Centre,oecd.org
OMICS Publishing Group,omicsonline.org
Oxford University Press,oxfordjournals.org
"Red de Revistas Cientificas América Latina y el Caribe, España y Portugal",redalyc.org
Revues.org,revues.org
Research India Publications,ripublication.com
SAGE,sagepub.com
Scientific & Academic Publishing Co.,sapub.org
SciELO,scielo.org
Science Publishing Group,sciencepublishinggroup.com
Scientific Research Publishing,scirp.org
Springer,springerlink.com
Taylor and Francis Group,tandf.co.uk
Thieme Medical Publishers,thieme.com
John Wiley and Sons,interscience.wiley.com
American Anthropological Association,aaanet.org
American Bar Association,americanbar.org
Academic Journals (Openly),academicjournals.org
Academic Journals,academicjournals.net
American City Business Journals,acbj.com
American Chemical Society,portal.acs.org
Adis International Limited (now part of Wolters Kluwer Health),adisonline.info
American Institute of Physics,aip.org
Akadémiai Kiadó,akademiai.hu
American Library Association,ala.org
Allerton Press Inc,allertonpress.com
AME Publishing Company,amegroups.com
Universidad de Antioquia,udea.edu.co
AOSIS Publishing,aosis.co.za
American Psychological Association,apa.org
Academic Publishing House Researcher,aphr.ru
Annual Reviews,annualreviews.org
American Research Institute for Policy Development,aripd.org
American Society of Civil Engineers,asce.org
"Academy of Sciences Library, Czech Republic",lib.cas.cz
The American Society of Mechanical Engineers,asme.org
Austin Publishing Group,austinpublishinggroup.com
Avens Publishing Group,avensonline.org
Bangladesh Journals Online,banglajol.info
Bauer Media,bauermedia.co.uk
Begell House Publishing Inc,begellhouse.com
John Benjamins Publishing Company,benjamins.nl
Bioline International,bioline.org.br
Bioone,bioone.org
BMJ Publishing Group,bmj.com
Richard Boorberg Verlag,boorberg.de
Brepols Publishers,brepols.net
Canadian Center of Science and Education,ccsenet.org
Common Ground Publishing,commongroundgroup.com
Copernicus Group,copernicus.org
Consejo Superior de Investigaciones Cientificas (Spanish National Research Council),csic.es
Commonwealth Scientific and Industrial Research Organisation Publishing,publish.csiro.au
David Publishing Company,davidpublisher.org
DergiPark,dergipark.gov.tr
KoBSON,kobsonbeta.nb.rs
Duke University Press (Openly),dukeupress.edu
EDP Sciences,edpsciences.org
E-International Scientific Research Journal Consortium,eisrjc.com
The European Mathematical Information Service,emis.ams.org
Equinox Publishing Ltd,equinoxpub.com
"Lawrence Erlbaum Associates, Inc.",erlbaum.com
E. Schweizerbart Science Publishers,schweizerbart.de
Edinburgh University Press,eup.ed.ac.uk
FrancoAngeli,francoangeli.it
Frank Cass & Co. Ltd,frankcass.com
Universitas Gadjah Mada,ugm.ac.id
GERFLINT (Groupe d’études et de Recherches pour le Français Langue Internationale)),gerflint.eu
Giuffre Editore,giuffre.it
Global Science Books,globalsciencebooks.info
Greener Journals,gjournals.org
Harrassowitz Verlag,harrassowitz-verlag.de
Heldref Publishing,heldref.org
"Human Kinetics Publishers, Inc",hkusa.com
Herbert Open Access Journals,hoajonline.com
Hogrefe Publishing,hogrefe.com
Horizon Research Publishing Corporation,hrpub.org
IBIMA Publishing,ibimapublishing.com
International Digital Organization for Scientific Information (IDOSI),idosi.org
The Institution of Electrical Engineers,ioj.iee.org.uk
Academic Hosting & Event Management Solutions,iiste.org
imbiomed,imbiomed.com
Innovative Publication,innovativepublication.com
IOS Press,iospress.nl
Internet Scientific Publications LLC,ispub.com
Indiana University Press,iupjournals.org
Jaypee Brothers Medical Publishers (P) Ltd.,jaypeebrothers.com
Johns Hopkins University Press,press.jhu.edu
JournalsPub,journalspub.com
Kowsar Publishing Company,kowsarcorp.com
Editions Lavoisier,editions.lavoisier.fr
Macrothink Institute,macrothink.org
Mark Allen Group (Openly),markallengroup.com
Masson Editeur,masson.fr
MedCrave Publishing,medcraveonline.com
Medigraphic,medigraphic.com
Medwell Journals,medwelljournals.com
Edizioni Minerva Medica,minervamedica.it
MIT Press,mitpress.mit.edu
Società Editrice il Mulino,mulino.it
Nova Science Publishers,novapublishers.com
NRC Research Press,nrcresearchpress.com
Oldenbourg Wissenschaftsverlag,oldenbourg.de
Page Press,pagepress.org
Pak Publishing Group,pakinsight.com
Philosophy Documentation Center (Openly),pdcnet.org
Peeters Publishers,poj.peeters-leuven.be
PennWell Corporation,pennwell.com
Penton Media,penton.com
Petra Christian University,petra.ac.id
University of Pittsburgh Press,upress.pitt.edu
Presses Universitaires de France,puf.com
International Academic Publishing Co (Nauka/Interperiodica),maik.ru
Reed Business,reedbusiness.com
Research Trends,researchtrends.net
Rodopi Publishers,rodopi.nl
Romanian Academy / Academia Române,academiaromana.ro
Royal Society of Chemistry,rsc.org
Royal Society of Medicine Press,rsmpress.co.uk
Sabinet Online,journals.sabinet.co.za
Science Publications,thescipub.com
SciTechnol,scitechnol.com
"Universitas Negeri Semarang, Indonesia",unnes.ac.id
M. E. Sharpe Inc.,mesharpe.com
Sri Lanka Journals OnLine,sljol.info
Sophia Publishing Group,biopublisher.ca
STM Journals,stmjournals.com
Sweet & Maxwell,sweetandmaxwell.co.uk
University of Tehran,ut.ac.ir
Thomas Telford,thomastelford.com
Termedia Publishing House,termedia.pl
Transstellar Journal Publications and Research Consultancy Private Ltd.,tjprc.org
Tehran University of Medical Sciences Publications,journals.tums.ac.ir
Tyagi Pharmacy Association,tpa.net.in
Universitat de Barcelona,ub.edu
University of California Press (Openly),ucpress.edu
University of Chicago Press,journals.uchicago.edu
Universidad Complutense de Madrid,ucm.es
"Universitas Udayana, Indonesia",unud.ac.id
Federal University of Paraná,artes.ufpr.br
Federal University of Santa Catarina,ufsc.br
University of Illinois Press,press.uillinois.edu
University of Indonesia,ui.ac.id
University of Murcia,um.es
"University of Malaya, Malaysia",um.edu.my
Universidad Nacional de Colombia,unal.edu.co
Universidad Nacional Autónoma de México,unam.mx
Universidad Nacional de Educación a Distancia,portal.uned.es
Firenze University Press,fupress.com
"Universidade de São Paulo, Brasil",www5.usp.br
University of Toronto Press,utpjournals.press
Via Medica Czasopisma,journals.viamedica.pl
BaiShiDeng Publishing Group,wjgnet.com
Wydawnictwo Naukowe Uniwersytetu Szczecińskiego,wnus.edu.pl
World Scientific Publishing Company,worldscientific.com
American Accounting Association,aaahq.org
American Association for the Advancement of Science,aaas.org
American Association of Clinical Endocrinologists,aace.com
American Association for Cancer Research,aacr.org
Association for the Advancement in Combinatorial Sciences,aacsjournals.com
The Association of American Colleges and Universities,aacu.org
"American Alliance for Health, Physical Education, Recreation and Dance",aahperd.org
American Association of Immunologists,aai.org
American Association on Intellectual and Developmental Disabilities (Openly),aaidd.org
American Association for Laboratory Animal Science,aalas.org
American Association of Neurological Surgeons,aans.org
American Academy of Pediatrics (Openly),aap.org
American Academy of Periodontology,perio.org
American Association of Pharmaceutical Scientists,aapspharmaceutica.com
American Astronomical Society,aas.org
American Association of University Professors,aaup.org
Association of Avian Veterinarians,aav.org
Association for Behavior Analysis International,abainternational.org
King Abdulaziz University – Scientific Publishing Center,kau.edu.sa
Abhinav Publications,abhinavjournal.com
"Academy of Business & Scientific Research (ABSR), Pakistan",absronline.org
American Counseling Association,counseling.org
Academia Publishing,academiapublishing.org
Academy Publication,academypublication.com
Academic Research Journals,academicresearchjournals.org
National Academy of Sciences,nasonline.org
World Academic Publishing,academicpub.org
Australian Council for Educational Research,acer.edu.au
Academy of Chemistry of Globe Publications,acgpubs.org
American Concrete Institute,concrete.org
Academy of Natural Sciences of Drexel University,ansp.org
Australian Council of Social Service,acoss.org.au
American College of Physicians,acponline.org
ACTA Press,actapress.com
American Diabetes Association,diabetes.org
Asian Development Bank,adb.org
Addleton Academic Publishers,addletonacademicpublishers.com
Adenine Press,adeninepress.com
Advanstar Communications,advanstar.com
American Economic Association,vanderbilt.edu
AEGIS Publications,aegiscomm.com
Association for Education in Journalism and Mass Communication,aejmc.org
Academic Electronic Press,elis.sk
Amoghsiddhi Education Society,aessangli.in
Asian Economic and Social Society,aessweb.com
American Fisheries Society,fisheries.org
American Foundry Society,afsinc.org
Guttmacher Institute,guttmacher.org
Agra Informa Ltd,agra-net.com
The American Society of Agronomy,agronomy.org
American Geophysical Union,agu.org
American Institute of Aeronautics and Astronautics,aiaa.org
Australian International Academic Centre Pty. Ltd.,aiac.org.au
Agricultural Institute of Canada,aic.ca
American Institute of Chemical Engineers,aiche.org
American Institute of Mathematical Sciences,aimsciences.org
American Institute of Musicology,corpusmusicae.com
Academy & Industry Research Collaboration Center ( AIRCC ),airccse.org
Association for Information Systems,aisnet.org
Aizeon Publishers,aizeonpublishers.net
"Anthony J. Jannetti, Inc.",ajj.com
Asian Online Journals,ajouronline.com
Andrew John Publishing Inc,andrewjohnpublishing.com
Akademie Verlag,akademie-verlag.de
